elapsed,phase,n29_shares,n31_shares,hashrate_khs,difficulty,share_gap_s
456.87438321113586,SPIRAL,494,245,1676.8340619999994,2.0780976413459163e-06,14413.690204620361
465.07027983665466,SPIRAL,494,245,1654.1525999999992,2.0780976413459163e-06,14421.199766397476
472.5799593925476,SPIRAL,494,245,1642.1525999999994,2.0780976413459163e-06,14428.766155719757
480.14633679389954,SPIRAL,494,245,1615.4711379999994,2.0780976413459163e-06,14436.297174215317
487.6772258281708,SPIRAL,494,245,1592.7896759999994,2.0780976413459163e-06,14443.799580812454
495.1796679496765,SPIRAL,494,245,1578.3204239999993,2.0780976413459163e-06,14451.91710138321
503.2971477508545,SPIRAL,494,245,1553.8037099999995,2.0780976413459163e-06,14459.426546573639
510.8065948486328,SPIRAL,494,245,1525.2869959999994,2.0780976413459163e-06,14466.951506137848
518.3315961360931,SPIRAL,494,245,1509.1920719999991,2.3090016445213194e-06,14402.193379878998
526.4290528297424,SPIRAL,495,245,1490.509564999999,2.3090016445213194e-06,14409.72193479538
533.9575972557068,SPIRAL,495,245,1477.8697999999993,2.3090016445213194e-06,14417.274321079254
541.5099849700928,SPIRAL,495,245,1434.5140919999992,2.3090016445213194e-06,14424.780206680298
549.0158851146698,SPIRAL,495,245,1413.6610719999992,2.3090016445213194e-06,14432.365903377533
556.6017444133759,SPIRAL,495,245,1399.4952959999991,2.3090016445213194e-06,14440.472435235977
564.7081079483032,SPIRAL,495,245,1377.329519999999,2.3090016445213194e-06,14448.131155252457
572.3668656349182,SPIRAL,495,245,1373.329519999999,2.3090016445213194e-06,14455.714463710785
579.9501268863678,SPIRAL,495,245,1348.0808559999991,2.3090016445213194e-06,14463.896144628525
588.1318442821503,SPIRAL,495,245,1324.997967999999,2.3090016445213194e-06,14471.547579288483
595.783237695694,SPIRAL,495,245,1320.997967999999,2.3090016445213194e-06,14479.092108011246
603.3277988433838,SPIRAL,495,245,1302.832191999999,2.3090016445213194e-06,14486.629996538162
633.5585830211639,RECOVERY,495,245,1208.6664159999993,2.3090016445213194e-06,14516.832444190979
641.068122625351,RECOVERY,495,245,1196.6664159999993,2.3090016445213194e-06,14524.948138952255
649.183886051178,RECOVERY,495,245,1180.1254019999992,2.3090016445213194e-06,
656.7854125499725,RECOVERY,497,245,1189.4535399999993,3.959195674001733e-07,14400.099457502365
664.3818409442902,RECOVERY,502,245,1186.2406639999995,6.034444781639907e-07,14400.581434965134
671.9147591590881,RECOVERY,509,247,1199.0277879999996,1.4018405623301995e-06,14401.593060970306
679.4235563278198,RECOVERY,513,250,1191.7393829999999,1.7378224426004782e-06,14400.702512741089
687.0501861572266,RECOVERY,521,254,1192.6459559999998,1.827227087978558e-06,14400.22323679924
695.1813023090363,RECOVERY,527,257,1219.548659,1.8924194975378064e-06,14400.4572660923
702.6567230224609,RECOVERY,530,257,1228.948523,1.9315351906182697e-06,14401.948682785034
710.9070670604706,RECOVERY,534,260,1242.153409,1.976238806829467e-06,14403.827818155289
718.5603613853455,RECOVERY,537,262,1264.527318,2.013492095334139e-06,14401.2171626091
726.039393901825,RECOVERY,541,266,1268.758159,2.0544662542829854e-06,14400.157067775726
733.5548982620239,RECOVERY,545,271,1254.0995980000002,2.14853186688984e-06,14400.577497243881
741.0492823123932,RECOVERY,551,272,1256.3259790000002,2.196957477702601e-06,14400.885051250458
748.6587326526642,RECOVERY,558,273,1271.6289310000004,2.237938427132592e-06,14400.980547428131
756.664707660675,RECOVERY,560,275,1260.9215500000003,2.256563294657364e-06,14402.002251148224
764.2093014717102,RECOVERY,565,278,1259.3126290000002,2.2640121652005548e-06,14400.25402021408
772.286370754242,RECOVERY,572,278,1281.7168020000001,2.2938165588807322e-06,14400.06990981102
779.8358783721924,RECOVERY,577,281,1278.3524040000002,2.3319995830576187e-06,14406.292630434036
787.41570520401,RECOVERY,581,282,1271.6295980000002,2.353420257164362e-06,14402.960649490356
794.9554567337036,RECOVERY,584,283,1277.9456739999998,2.356215062596017e-06,14400.090480804443
802.5533859729767,RECOVERY,589,285,1283.3420239999998,2.3813583027584586e-06,14400.908827066422
810.0146052837372,RECOVERY,595,287,1284.4595499999998,2.4074321965528355e-06,14400.87973189354
818.0538415908813,RECOVERY,598,287,1285.0736329999995,2.412089434913447e-06,14400.572105169296
825.6351480484009,RECOVERY,605,290,1279.8420689999996,2.4176820873883016e-06,14400.83842754364
833.802496433258,RECOVERY,611,293,1284.7624129999997,2.4223380308294153e-06,14402.366933107376
841.4081788063049,RECOVERY,613,293,1251.9836990000001,2.4232654999538057e-06,14406.717774391174
848.9831867218018,RECOVERY,618,295,1240.169874,2.410229026375388e-06,14400.297941446304
